epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,674.981,1.69658,3.29198,1.84693,1.80257,0.11968,0.45833,0.13252,0.03477,0.19389,0.08333,0.05805,0.02762,3.14109,3.87633,3.8841,3.87583,0.0010694,0.0010694,0.0010694
49,686.584,1.51684,3.04153,1.71699,1.68921,0.14413,0.29167,0.13272,0.04018,0.09853,0.08333,0.05069,0.02745,3.04965,3.64691,3.98326,3.84791,0.0010496,0.0010496,0.0010496
50,698.341,1.50539,3.17957,1.74612,1.63466,0.10354,0.20833,0.10024,0.02881,0.12337,0.08333,0.05256,0.02147,3.02941,3.68809,4.20344,3.86469,0.0010298,0.0010298,0.0010298
51,709.608,1.57417,3.06924,1.73063,1.69842,0.24874,0.08333,0.09756,0.02768,0.39687,0.08333,0.07196,0.01894,2.99034,3.92465,3.63067,3.88582,0.00101,0.00101,0.00101
52,721.074,1.55637,3.18193,1.74893,1.67883,0.05575,0.33333,0.07257,0.02519,0.88898,0.08333,0.08529,0.05121,3.20476,3.84171,3.2271,4.10793,0.0009902,0.0009902,0.0009902
53,733.294,1.53859,3.00018,1.69621,1.69164,0.10254,0.25,0.09307,0.02142,0.87959,0.08333,0.08528,0.0478,3.28711,3.77463,3.29699,4.18212,0.0009704,0.0009704,0.0009704
54,746.966,1.4965,3.24226,1.75907,1.6686,0.31858,0.125,0.11645,0.02363,0.87178,0.08333,0.08883,0.03954,3.26662,3.66871,3.35988,4.09485,0.0009506,0.0009506,0.0009506
55,758.807,1.56614,3.04153,1.70184,1.68702,0.08979,0.33333,0.10034,0.01968,0.35262,0.04167,0.02302,0.00475,3.12542,3.79033,3.53789,3.78084,0.0009308,0.0009308,0.0009308
56,770.199,1.50185,3.11892,1.60719,1.639,0.2676,0.08333,0.09079,0.02392,0.42938,0.04167,0.02322,0.00471,2.96526,3.87097,3.60752,3.39672,0.000911,0.000911,0.000911
57,781.716,1.53303,3.20294,1.72326,1.70268,0.21578,0.125,0.11624,0.03846,0.92869,0.08333,0.08528,0.02636,2.89524,3.82359,3.35785,3.2181,0.0008912,0.0008912,0.0008912
58,795.356,1.463,3.12237,1.71495,1.63148,0.20185,0.16667,0.16088,0.04641,0.917,0.08333,0.08547,0.03967,2.785,3.74262,3.07683,3.10995,0.0008714,0.0008714,0.0008714
59,806.374,1.50971,3.05158,1.69089,1.6568,0.26176,0.33333,0.20415,0.05189,0.92134,0.08333,0.08558,0.0398,2.79881,3.76023,3.05314,3.19898,0.0008516,0.0008516,0.0008516
60,818.186,1.46204,3.02703,1.66709,1.64075,0.32034,0.29167,0.2108,0.05472,0.86151,0.08333,0.08577,0.03931,2.82983,3.8049,3.04973,3.25362,0.0008318,0.0008318,0.0008318
61,829.668,1.51416,3.07803,1.71057,1.67758,0.31213,0.25,0.22907,0.06095,0.3593,0.08333,0.06596,0.03095,2.75794,3.79149,3.16255,3.22172,0.000812,0.000812,0.000812
